"","prob1","prob2","prob3","label"
"3012",2.78605239308626e-11,0.701661204033157,0.298338795938982,2
"3013",2.02158624611333e-18,5.64932827722228e-06,0.999994350671723,3
"3014",1.74508569405753e-30,4.50918254838574e-11,0.999999999954908,3
"3015",1.09042010634012e-29,5.661636752894e-09,0.999999994338363,3
"3016",3.34252221614981e-28,1.2230283359031e-10,0.999999999877697,3
"3017",0.0181479123687836,0.98185208763115,6.62251808269373e-14,2
"3018",3.40815873438727e-22,7.5010085624337e-06,0.999992498991438,3
"3019",2.74843898719045e-15,0.0252695042255517,0.974730495774446,3
"3020",0.999999999987433,1.2567373376827e-11,3.45031353314235e-37,1
"3021",7.41172357946498e-31,2.01525889425745e-10,0.999999999798474,3
"3022",3.08699884751771e-31,1.00799364777551e-09,0.999999998992006,3
"3023",4.0947544145988e-20,8.44418603234241e-06,0.999991555813968,3
"3024",1.17425608156242e-56,6.15852779846771e-14,0.999999999999938,3
"3025",3.36522122557903e-18,0.00167133106677291,0.998328668933227,3
"3026",1.89017027703778e-17,0.00025701434487059,0.999742985655129,3
"3027",8.16965178185151e-22,9.54186628311555e-08,0.999999904581337,3
"3028",7.09638897595415e-12,0.654062480221712,0.345937519771192,2
"3029",0.999999517482947,4.82517052991709e-07,4.66387077336513e-31,1
"3030",7.1947654176397e-33,2.45253595275719e-12,0.999999999997548,3
"3031",1.51137747768298e-16,0.00014135150376645,0.999858648496233,3
"3032",1.59971043243821e-45,4.69842987070712e-14,0.999999999999953,3
"3033",1.45106446470765e-26,7.88102531719464e-09,0.999999992118975,3
"3034",2.20030952128503e-16,0.00700841211975508,0.992991587880245,3
"3035",4.6517062085024e-31,1.19965914683219e-11,0.999999999988003,3
"3036",1.67325918832546e-23,8.69462300054527e-09,0.999999991305377,3
"3037",6.59408896057791e-33,6.36609505519233e-10,0.99999999936339,3
"3038",2.46478499970494e-31,7.20565563933847e-12,0.999999999992794,3
"3039",2.99459324625661e-41,3.25116636469155e-11,0.999999999967488,3
"3040",3.0688899043063e-45,8.51541929877323e-12,0.999999999991485,3
"3041",7.55684806696145e-227,1.33567456058916e-79,1,3
"3042",9.27646090765992e-34,3.14566120105565e-11,0.999999999968543,3
"3043",7.22483966419384e-39,6.20827115037651e-17,1,3
"3044",4.07049009983324e-31,1.96340719560578e-08,0.999999980365928,3
"3045",1.10201503379116e-22,3.82044982361469e-07,0.999999617955018,3
"3046",4.39058024752628e-10,0.999955359850054,4.46397108876394e-05,2
"3047",1,1.42697522316149e-18,1.35099043856728e-61,1
"3048",7.36774414554994e-20,6.72114487573052e-06,0.999993278855124,3
"3049",1.08076978063425e-174,4.49263611328461e-54,1,3
"3050",3.69437888205195e-54,7.89338170688212e-13,0.999999999999211,3
"3051",3.96211477480208e-71,7.92529542689195e-23,1,3
"3052",1.64144191640059e-43,4.33783074734989e-14,0.999999999999957,3
"3053",9.98251943895251e-07,0.999998998578532,3.16952390760097e-09,2
"3054",5.08421646674897e-09,0.999927840025042,7.21548907416233e-05,2
"3055",2.26101983939292e-27,2.72730755008861e-10,0.999999999727269,3
"3056",4.20676615965398e-23,8.94924735610382e-06,0.999991050752644,3
"3057",5.49708227867839e-16,0.000956480368906268,0.999043519631093,3
"3058",1.06215641621824e-39,1.76126551858149e-10,0.999999999823873,3
"3059",3.39519340223688e-13,0.701968918524316,0.298031081475345,2
"3060",5.84258582608174e-22,9.130891882323e-09,0.999999990869108,3
"3061",1.3797437129409e-23,3.05618087295403e-08,0.999999969438191,3
"3062",3.48848707660204e-76,4.56913747860698e-11,0.999999999954309,3
"3063",2.40278912636893e-13,0.0915453454248749,0.908454654574885,3
"3064",1.81624204437474e-26,2.63699037164391e-09,0.99999999736301,3
"3065",6.33666219275844e-12,0.939570649551667,0.0604293504419961,2
"3066",1.82381875359723e-50,5.61792927608946e-15,0.999999999999994,3
"3067",1.98612215621606e-18,6.18376140266212e-05,0.999938162385973,3
"3068",0.00119380433088274,0.99880619566888,2.3699724297783e-13,2
"3069",1.18351690201119e-20,5.19877533441202e-05,0.999948012246656,3
"3070",3.59150358013194e-12,0.884649481207915,0.115350518788493,2
"3071",3.1189006175532e-29,3.03514649257853e-11,0.999999999969649,3
"3072",1.42565908301323e-06,0.999998572929896,1.41102069548414e-09,2
"3073",2.65066715254336e-13,0.958266339065065,0.0417336609346698,2
"3074",0.999999999950164,4.98359128691036e-11,4.47036448093415e-31,1
"3075",1.87863961959267e-06,0.999998090464104,3.08962767034255e-08,2
"3076",9.80569303514084e-11,0.999866105572656,0.000133894329287082,2
"3077",1.08029548438773e-07,0.999999860476062,3.14943890835312e-08,2
"3078",0.998171086634089,0.00182891336591051,4.23184113771927e-18,1
"3079",8.14271936339546e-13,0.987191575713268,0.0128084242859177,2
"3080",0.00982615605558112,0.990173843944137,2.81658134407358e-13,2
"3081",3.91684692376227e-22,3.77493825546213e-08,0.999999962250617,3
"3082",5.33869985670278e-19,0.00139071562726235,0.998609284372738,3
"3083",1.76717521022052e-07,0.999999683129501,1.40152977960378e-07,2
"3084",0.997620924508531,0.00237907549146888,2.18051510929275e-22,1
"3085",7.45145610947047e-09,0.999999681666752,3.1088179163641e-07,2
