"","x"
"2123",9
"2124",6
"2125",2
"2126",6
"2127",8
"2128",3
"2129",12
"2130",9
"2131",11
"2132",1
"2133",11
"2134",6
"2135",6
"2136",1
"2137",1
"2138",15
"2139",6
"2140",3
"2141",1
"2142",1
"2143",10
"2144",9
"2145",10
"2146",5
"2147",10
"2148",7
"2149",10
"2150",13
"2151",8
"2152",7
"2153",10
"2154",10
"2155",7
"2156",3
"2157",9
"2158",7
"2159",15
"2160",1
"2161",11
"2162",7
"2163",5
"2164",15
"2165",13
"2166",8
"2167",6
"2168",1
"2169",7
"2170",8
"2171",13
"2172",7
"2173",11
"2174",7
"2175",1
"2176",6
"2177",2
"2178",15
"2179",10
"2180",1
"2181",7
"2182",7
"2183",1
"2184",6
"2185",9
"2186",9
"2187",8
"2188",6
"2189",8
"2190",5
"2191",8
"2192",5
"2193",15
"2194",2
"2195",6
"2196",6
"2197",9
"2198",6
"2199",1
"2200",8
"2201",11
"2202",8
"2203",8
"2204",8
"2205",5
"2206",6
"2207",11
"2208",3
"2209",6
"2210",13
"2211",8
"2212",10
"2213",8
"2214",6
"2215",8
"2216",8
"2217",6
"2218",3
"2219",10
"2220",6
"2221",1
"2222",6
"2223",6
"2224",7
"2225",11
"2226",1
"2227",1
"2228",6
"2229",8
"2230",9
"2231",7
"2232",5
"2233",5
"2234",11
"2235",8
"2236",8
"2237",13
"2238",8
"2239",3
"2240",7
"2241",8
"2242",12
"2243",9
"2244",6
"2245",7
"2246",10
"2247",8
"2248",7
"2249",11
"2250",9
"2251",11
"2252",6
"2253",10
"2254",1
"2255",1
"2256",12
"2257",8
"2258",13
"2259",15
"2260",7
"2261",13
"2262",1
"2263",5
"2264",7
"2265",10
"2266",11
"2267",1
"2268",4
"2269",8
"2270",1
"2271",1
"2272",8
"2273",7
"2274",13
"2275",1
"2276",1
"2277",13
"2278",1
"2279",8
"2280",6
"2281",15
"2282",3
"2283",1
"2284",5
"2285",8
"2286",12
"2287",15
"2288",7
"2289",8
"2290",7
"2291",11
"2292",2
"2293",4
"2294",3
"2295",9
"2296",5
"2297",7
"2298",9
"2299",8
"2300",12
"2301",8
"2302",5
"2303",6
"2304",8
"2305",8
"2306",7
"2307",15
"2308",6
"2309",1
"2310",3
"2311",11
"2312",13
"2313",8
"2314",7
"2315",15
"2316",8
"2317",9
"2318",8
"2319",10
"2320",13
"2321",13
"2322",10
"2323",7
"2324",7
"2325",1
"2326",8
"2327",7
"2328",8
"2329",8
"2330",12
"2331",7
"2332",6
"2333",11
"2334",8
"2335",1
"2336",10
"2337",9
"2338",1
"2339",6
"2340",5
"2341",8
"2342",13
"2343",7
"2344",1
"2345",11
"2346",4
"2347",5
"2348",13
"2349",11
"2350",6
"2351",6
"2352",7
"2353",10
"2354",5
"2355",10
"2356",9
"2357",3
"2358",12
"2359",7
"2360",3
"2361",11
"2362",11
"2363",13
"2364",8
"2365",10
"2366",3
"2367",8
"2368",6
"2369",2
"2370",15
"2371",8
"2372",10
"2373",1
"2374",13
"2375",1
"2376",7
"2377",3
"2378",9
"2379",1
"2380",8
"2381",1
"2382",1
"2383",13
"2384",7
"2385",8
"2386",8
"2387",13
"2388",13
"2389",8
"2390",11
"2391",10
"2392",8
"2393",6
"2394",4
"2395",3
"2396",8
"2397",8
"2398",1
"2399",15
"2400",4
"2401",10
"2402",8
"2403",8
"2404",6
"2405",1
"2406",10
"2407",10
"2408",4
"2409",9
"2410",10
"2411",7
"2412",2
"2413",9
"2414",8
"2415",7
"2416",6
"2417",15
"2418",8
"2419",3
"2420",7
"2421",9
"2422",11
"2423",7
"2424",1
"2425",8
"2426",15
"2427",11
"2428",2
"2429",10
"2430",3
"2431",1
"2432",1
"2433",8
"2434",4
"2435",6
"2436",8
"2437",8
"2438",11
"2439",1
"2440",1
"2441",9
"2442",5
"2443",1
"2444",10
"2445",10
"2446",10
"2447",11
"2448",6
"2449",10
"2450",5
"2451",11
"2452",1
"2453",5
"2454",4
"2455",11
"2456",5
"2457",7
"2458",2
"2459",9
"2460",10
"2461",10
"2462",7
"2463",8
"2464",5
"2465",7
"2466",11
"2467",3
"2468",11
"2469",11
"2470",11
"2471",10
"2472",10
"2473",3
"2474",6
"2475",15
"2476",7
"2477",9
"2478",3
"2479",10
"2480",3
"2481",9
"2482",1
"2483",5
"2484",1
"2485",4
"2486",6
"2487",8
"2488",1
"2489",1
"2490",13
"2491",15
"2492",1
"2493",13
"2494",15
"2495",11
"2496",7
"2497",11
"2498",11
"2499",10
"2500",11
"2501",15
"2502",10
"2503",11
"2504",6
"2505",13
"2506",8
"2507",6
"2508",10
"2509",5
"2510",8
"2511",8
"2512",11
"2513",11
"2514",8
"2515",1
"2516",3
"2517",10
"2518",7
"2519",11
"2520",5
"2521",3
"2522",5
"2523",10
"2524",8
"2525",7
"2526",11
"2527",10
"2528",11
"2529",9
"2530",8
"2531",9
"2532",13
"2533",13
"2534",7
"2535",10
"2536",5
"2537",10
"2538",8
"2539",1
"2540",6
"2541",7
"2542",7
"2543",9
"2544",10
"2545",10
"2546",10
"2547",10
"2548",7
"2549",4
"2550",12
"2551",7
"2552",7
"2553",8
"2554",10
"2555",8
"2556",10
"2557",10
"2558",11
"2559",6
"2560",8
"2561",6
"2562",5
"2563",7
"2564",10
"2565",10
"2566",9
"2567",7
"2568",2
"2569",4
"2570",8
"2571",1
"2572",5
"2573",4
"2574",1
"2575",3
"2576",4
"2577",8
"2578",13
"2579",1
"2580",6
"2581",8
"2582",1
"2583",1
"2584",12
"2585",10
"2586",6
"2587",6
"2588",1
"2589",8
"2590",11
"2591",8
"2592",10
"2593",9
"2594",7
"2595",9
"2596",13
"2597",1
"2598",4
"2599",1
"2600",8
"2601",1
"2602",5
"2603",10
"2604",11
"2605",6
"2606",15
"2607",8
"2608",8
"2609",13
"2610",13
"2611",6
"2612",9
"2613",4
"2614",7
"2615",11
"2616",10
"2617",7
"2618",8
"2619",8
"2620",8
"2621",8
"2622",11
"2623",8
"2624",8
"2625",9
"2626",3
"2627",1
"2628",4
"2629",7
"2630",1
"2631",8
"2632",1
"2633",9
"2634",6
"2635",5
"2636",8
"2637",15
"2638",9
"2639",5
"2640",10
"2641",6
"2642",10
"2643",2
"2644",10
"2645",3
"2646",10
"2647",7
"2648",4
"2649",6
"2650",6
"2651",8
"2652",9
"2653",6
"2654",7
"2655",2
"2656",11
"2657",11
"2658",10
"2659",11
"2660",10
"2661",11
"2662",5
"2663",8
"2664",3
"2665",2
"2666",8
"2667",4
"2668",13
"2669",2
"2670",8
"2671",10
"2672",13
"2673",12
"2674",7
"2675",8
"2676",13
"2677",8
"2678",6
"2679",5
"2680",10
"2681",6
"2682",15
"2683",2
"2684",3
"2685",1
"2686",8
"2687",8
"2688",4
"2689",13
"2690",7
"2691",3
"2692",10
"2693",13
"2694",8
"2695",8
"2696",1
"2697",7
"2698",7
"2699",9
"2700",7
"2701",8
"2702",8
"2703",6
"2704",1
"2705",7
"2706",10
"2707",7
"2708",1
"2709",10
"2710",5
"2711",8
"2712",4
"2713",8
"2714",8
"2715",6
"2716",3
"2717",7
"2718",10
"2719",8
"2720",1
"2721",5
"2722",4
"2723",4
"2724",10
"2725",4
"2726",8
"2727",9
"2728",11
"2729",4
"2730",7
"2731",1
"2732",10
"2733",1
"2734",7
"2735",8
"2736",6
"2737",1
"2738",8
"2739",2
"2740",8
"2741",6
"2742",6
"2743",4
"2744",8
"2745",8
"2746",4
"2747",1
"2748",8
"2749",9
"2750",7
"2751",3
"2752",8
"2753",7
"2754",11
"2755",7
"2756",6
"2757",11
"2758",7
"2759",8
"2760",6
"2761",15
"2762",10
"2763",1
"2764",1
"2765",8
"2766",9
"2767",8
"2768",10
"2769",6
"2770",8
"2771",8
"2772",5
"2773",8
"2774",8
"2775",8
