"","Embryos0002","Embryos0204","Embryos0406","Embryos0608","Embryos0810","Embryos1012","Embryos1214","Embryos1416","Embryos1618","Embryos1820","Embryos2022","Embryos2224"
"FBgn0036991",2647,578,2417,1619,1346,1014,1706,553,513,352,167,504
"FBgn0036992",32,126,618,412,299,208,286,196,235,1030,4276,7297
"FBgn0036993",18,23,80,179,333,710,1042,855,1563,1584,775,1805
"FBgn0036994",8334,2775,8929,4543,2908,2150,1733,998,648,688,315,761
"FBgn0036995",7,16,27,29,46,118,440,933,1890,1090,144,356
"FBgn0036996",3,3,10,6,17,4,8,62,313,1057,524,834
"FBgn0036997",6,9,19,15,19,19,12,42,115,291,1018,1672
"FBgn0036998",2154,1305,3764,1724,1506,2048,2541,1157,1481,1064,699,1546
"FBgn0036999",1953,879,3018,2472,2661,4400,6748,3501,2802,1748,967,2031
"FBgn0037000",975,2031,8943,1278,627,436,535,760,2481,5223,1284,2819
"FBgn0037001",11080,11169,20874,12455,14753,34370,27990,34729,31358,40235,23165,41645
"FBgn0037003",1,0,4,1,0,1,4,2,4,3,3,7
"FBgn0037004",0,1,0,0,2,3,4,3,4,2,4,1
"FBgn0037005",0,0,1,2,0,5,19,9,10,8,6,14
"FBgn0037007",868,10293,30444,8438,6228,9397,14201,4776,5825,6917,2709,7656
"FBgn0037008",486,275,573,473,552,939,1273,438,539,535,405,1093
"FBgn0037009",1099,1099,2479,1829,1984,3058,3326,1769,1675,1209,816,1966
"FBgn0037010",7996,8085,13482,7696,7932,10051,12305,6843,5114,4284,4648,8028
"FBgn0037011",673,887,3255,1654,1535,3432,2656,1985,1765,1679,750,1727
"FBgn0037012",5,42,204,91,88,161,226,393,982,2416,838,2750
"FBgn0037013",1,2,4,3,2,3,3,4,11,34,12,47
"FBgn0037014",3,55,157,70,62,66,211,611,980,965,223,513
"FBgn0037015",1,23,28,31,42,139,284,575,949,1391,579,1503
"FBgn0037016",87,74,62,200,464,1874,3419,1847,2956,3681,2046,4946
"FBgn0037017",555,354,1015,563,540,732,998,323,322,284,121,361
"FBgn0037018",2077,687,1561,1533,1225,1552,2105,1499,1482,1270,698,1648
"FBgn0037019",2416,1989,3753,1772,1796,2364,2935,1589,2003,2402,1396,3145
"FBgn0037020",3546,2682,6715,3761,3197,3558,4093,2937,2920,2778,1246,2427
"FBgn0037021",19578,6234,7666,5418,3973,3258,6109,4829,3633,3518,1610,3365
"FBgn0037022",2277,319,1333,740,649,680,1039,520,582,521,292,739
"FBgn0037023",0,0,0,0,0,4,7,3,5,3,1,1
"FBgn0037024",14695,8498,6978,3258,2965,2909,2358,3280,2901,2849,1863,3046
"FBgn0037025",5206,1893,16639,12173,7942,2464,4152,735,501,271,216,525
"FBgn0037026",6499,3044,8226,5762,5514,6895,5985,3913,2629,1927,850,2105
"FBgn0037027",14174,5958,16652,12734,10126,8780,11142,4783,3370,2289,945,2146
"FBgn0037028",3877,4038,3197,966,1408,3061,5200,4751,4500,3651,2297,5158
"FBgn0037030",1,2,8,15,23,34,50,30,17,38,32,37
"FBgn0037031",1750,653,936,993,1055,1122,1148,543,432,306,159,468
"FBgn0037035",2,6,20,52,84,62,240,119,40,14,7,30
"FBgn0037036",0,0,2,1,4,4,11,14,1,3,1,4
"FBgn0037037",0,0,0,4,3,0,5,1,1,1,0,1
"FBgn0037038",0,0,0,0,4,0,0,2,0,0,0,1
"FBgn0037040",0,0,0,0,0,0,0,0,1,1,0,0
"FBgn0037042",16,9,45,26,35,26,31,13,12,3,9,17
"FBgn0037044",3105,1633,6168,2993,2826,5500,14786,37188,13615,4890,978,2033
"FBgn0037045",1766,990,1539,862,894,840,925,488,498,606,450,753
"FBgn0037046",47,69,284,181,63,52,52,11,14,11,11,16
"FBgn0037050",59,410,899,537,661,1279,1858,1181,1108,1156,482,1162
"FBgn0037051",20767,27339,56401,28756,25472,28843,25605,15565,12816,10734,9402,17718
"FBgn0037057",114,198,977,5670,11073,15054,10448,2952,3104,7019,11222,20189
"FBgn0037059",1,3,4,1,1,2,6,4,5,7,0,5
"FBgn0037060",3,18,36,46,64,276,890,518,589,516,267,731
"FBgn0037061",541,247,1283,852,852,921,1488,395,340,227,281,655
"FBgn0037063",3833,408,211,268,290,1100,1548,1482,1492,1481,821,1935
"FBgn0037064",22,10,7,1,13,3,8,13,11,9,12,27
"FBgn0037065",13,96,1098,269,277,314,520,1081,2365,4512,3970,8886
"FBgn0037067",0,1,1,2,2,17,25,15,43,135,34,53
"FBgn0037068",13,38,204,65,149,561,803,389,3902,10945,2673,5527
"FBgn0037069",24,39,21,10,61,98,62,744,7815,27187,12894,22312
"FBgn0037070",1778,225,352,331,563,1424,1988,2251,2579,2673,1746,3629
"FBgn0037071",2854,1590,3010,1315,1365,1137,2111,1413,1315,1453,976,2548
"FBgn0037073",8679,8581,17772,11616,11241,10100,15762,8683,6816,5613,7663,14398
"FBgn0037074",12310,9004,13728,9663,11051,10636,18755,11027,10673,8704,5777,13254
"FBgn0037076",1310,519,1824,832,739,735,958,733,584,634,274,638
"FBgn0037078",1,4,3,3,4,6,8,33,178,883,276,454
"FBgn0037081",3982,1925,7392,3519,2845,2446,3558,1310,1231,934,417,1094
"FBgn0037082",2669,1883,4662,1775,1430,1139,1477,778,747,310,685,1382
"FBgn0037083",34,418,1686,1183,1799,14997,18821,2589,245,161,56,187
"FBgn0037084",6780,2560,4408,2037,1652,2301,3366,4883,4038,3289,1116,2526
"FBgn0037085",555,2923,364,31,32,9,10,4,0,5,2,28
"FBgn0037086",16,69,112,27,7,6,10,5,4,5,2,2
"FBgn0037087",2089,1865,2318,1721,2179,3066,3223,1608,1186,810,952,1795
"FBgn0037090",1,21,198,249,329,632,598,219,131,176,218,510
"FBgn0037092",300,519,1401,2686,4138,9160,12784,5968,4603,3325,1620,3846
"FBgn0037093",19045,17557,25883,15261,14158,13873,19017,11861,9733,6607,7568,13648
"FBgn0037094",15237,21849,60533,34920,28870,32044,45303,43396,25981,18630,8545,15611
