"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"2403",9.99999999e-11,9.99999999e-11,9.99999999e-11,9.99999999e-11,9.99999999e-11,9.99999999e-11,9.99999999e-11,9.99999999e-11,9.99999999e-11,9.99999999e-11,2.80025191639512e-08,0.139306474170709,0.860687631136469,5.8656903034202e-06
"2404",9.99999999e-11,9.99999999e-11,9.99999999e-11,9.99999999e-11,0.00099660833530513,9.99999999e-11,9.99999999e-11,9.99999999e-11,9.99999999e-11,9.99999999e-11,0.998537351006715,0.000466039472376522,1.85603722267672e-10,9.99999999e-11
"2405",9.99999999100302e-11,9.99999999100302e-11,9.99999999100302e-11,9.99999999100302e-11,9.99999999100302e-11,9.99999999100302e-11,9.99999999100302e-11,9.99999999100302e-11,0.111052504450027,7.74777554152395e-07,9.99999999100302e-11,2.07985328962967e-06,0.00630253931790478,0.882642100701225
"2406",9.999999991e-11,9.999999991e-11,9.999999991e-11,9.999999991e-11,0.97142469869707,9.999999991e-11,0.00278341766484935,9.999999991e-11,9.999999991e-11,9.999999991e-11,0.0257847277021193,7.15441934887546e-06,6.16612679580557e-10,9.999999991e-11
"2407",9.99999999500014e-11,9.99999999500014e-11,9.30607197516947e-05,9.99999999500014e-11,0.40682060384639,9.99999999500014e-11,0.412113521053147,9.99999999500014e-11,2.6004601476168e-06,3.67707714967405e-09,0.147639284325572,0.0277859350538458,0.00532763523259744,0.000217355131471903
"2408",9.99999999100394e-11,9.99999999100394e-11,9.99999999100394e-11,9.99999999100394e-11,9.99999999100394e-11,9.99999999100394e-11,9.99999999100394e-11,3.64476275743351e-09,0.788282248451356,0.208595101122644,9.99999999100394e-11,9.99999999100394e-11,5.19558087425534e-08,0.00312259392542897
"2409",9.99999999200001e-11,9.99999999200001e-11,9.99999999200001e-11,9.99999999200001e-11,9.99999999200001e-11,9.99999999200001e-11,9.99999999200001e-11,9.99999999200001e-11,0.0276122460708618,2.9584108569463e-07,1.69165353196521e-08,0.000680071640262699,0.102580948322384,0.869126420408871
"2410",9.999999991e-11,9.999999991e-11,9.999999991e-11,9.999999991e-11,0.858826387453503,9.999999991e-11,0.133577886934828,9.999999991e-11,9.999999991e-11,9.999999991e-11,0.00759380818569988,1.91625276586282e-06,2.73203571593845e-10,9.999999991e-11
"2411",0.999149643148118,9.99999998800147e-11,0.000850355651882419,9.99999998800147e-11,9.99999998800147e-11,9.99999998800147e-11,9.99999998800147e-11,9.99999998800147e-11,9.99999998800147e-11,9.99999998800147e-11,9.99999998800147e-11,9.99999998800147e-11,9.99999998800147e-11,9.99999998800147e-11
"2412",9.99999999637136e-11,9.99999999637136e-11,9.99999999637136e-11,2.6692839432908e-05,1.86624055213895e-07,0.0295361494847805,9.99999999637136e-11,0.443955062987794,0.147016196147524,0.345042464205111,1.41774459775531e-05,0.000364511615334945,0.00330898255047496,0.0307355756995146
"2413",9.999999995e-11,9.999999995e-11,9.999999995e-11,9.999999995e-11,4.82295632178391e-05,9.999999995e-11,4.00136120933203e-10,9.78534733835004e-09,0.0743413465110974,0.000850508179883409,0.00637534070944427,0.106725822660371,0.38287442283467,0.428784318855832
"2414",9.99999999601005e-11,9.99999999601005e-11,9.99999999601005e-11,9.99999999601005e-11,0.00150094311874153,1.62283605294196e-06,7.32539570668486e-06,0.00260734800886632,0.266706669644894,0.0710901836006303,0.0171213043383441,0.082495401076571,0.210439176983506,0.348030024596687
"2415",0.999590357249404,9.99999998900008e-11,0.000409641295361756,9.99999998900008e-11,9.99999998900008e-11,9.99999998900008e-11,3.55234139302579e-10,9.99999998900008e-11,9.99999998900008e-11,9.99999998900008e-11,9.99999998900008e-11,9.99999998900008e-11,9.99999998900008e-11,9.99999998900008e-11
"2416",9.99999999500195e-11,9.99999999500195e-11,6.2332447073832e-07,9.99999999500195e-11,0.446461417886419,9.99999999500195e-11,0.132332596994397,9.99999999500195e-11,2.33968113770884e-05,4.28988002356025e-08,0.303011518147431,0.0923651128766502,0.0243685042299876,0.0014367863304672
"2417",9.99999999259e-11,0.93074239542811,9.99999999259e-11,0.0670227408031298,9.99999999259e-11,0.00219301529758416,9.99999999259e-11,4.16430182905978e-05,3.82559320687033e-09,2.00827291911966e-07,9.99999999259e-11,9.99999999259e-11,9.99999999259e-11,9.99999999259e-11
"2418",9.999999994e-11,9.999999994e-11,9.999999994e-11,9.999999994e-11,0.0383179917641084,9.999999994e-11,2.08095545349652e-05,9.999999994e-11,6.87491503038076e-05,1.15111783339109e-08,0.33262988747239,0.424313042302544,0.193446065344046,0.0112034423008944
"2419",0.00177483370326559,9.99999999256396e-11,0.98877599319374,9.99999999256396e-11,3.68380510190296e-05,9.99999999256396e-11,0.00941190239810531,9.99999999256396e-11,9.99999999256396e-11,9.99999999256396e-11,4.28404147292791e-07,3.44972316796423e-09,9.99999999256396e-11,9.99999999256396e-11
"2420",0.988742978664324,9.99999999105616e-11,0.011247158228006,9.99999999105616e-11,3.31140905906357e-08,9.99999999105616e-11,9.82862443978913e-06,9.99999999105616e-11,9.99999999105616e-11,9.99999999105616e-11,4.69139057800645e-10,9.99999999105616e-11,9.99999999105616e-11,9.99999999105616e-11
"2421",9.99999999331949e-11,9.99999999331949e-11,9.99999999331949e-11,9.99999999331949e-11,0.00741462327356971,9.99999999331949e-11,6.29069070417355e-08,9.99999999331949e-11,5.04426392354354e-06,9.99999999331949e-11,0.256083198649331,0.523093663606366,0.208393319928011,0.00501008667189178
